,rouge1_f,rouge2_f,rougeL_f,bertscore_p,bertscore_r,bertscore_f1,entity_precision,entity_recall,entity_f1,compression_ratio,fk_grade
mean,0.13,0.02,0.071,0.787,0.799,0.793,1.0,0.151,0.254,0.426,10.222
median,0.128,0.018,0.07,0.787,0.8,0.793,1.0,0.14,0.246,0.421,10.23
min,0.022,0.002,0.008,0.76,0.763,0.768,1.0,0.031,0.061,0.221,5.95
max,0.233,0.047,0.12,0.816,0.834,0.815,1.0,0.368,0.538,0.76,15.19
